@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
287.200012,100150,98,1.199997,6.800003,169,6.5,8,9.09,6.58,1001.1,14.6,14.5,Media
287.200012,100100,99,-3.599991,6.400009,151,6.7,7.9,7.69,6.16,1001.8,14.3,14.5,Media
287.299988,99940,99,-3.800003,5.900009,114,6.6,8,7.69,6.04,1000.3,14.5,14.5,Media
288,99950,94,1.100006,10.400009,147,8.5,10.1,7.69,5.81,998.7,14.7,14.5,Media
287.5,100440,91,5.199997,13.100006,197,9.5,11.9,8.33,5.43,1002.7,14.9,14.6,Moderada
287.299988,100750,89,-0.399994,10.5,159,7.7,9.3,9.09,5.95,1006.6,14.9,14.6,Media
287.200012,100910,92,-2.099991,9.400009,159,7.4,8.8,8.33,5.82,1008.4,14.6,14.5,Media
287.200012,101000,92,-0.399994,7,154,6.1,7.5,9.09,6.12,1009.3,14.6,14.5,Media
286.799988,100990,93,1.900009,6,178,5.8,7.1,9.09,6.28,1009.2,14.7,14.8,Media
286.700012,101060,93,5.699997,5.100006,186,5.4,6.7,10,6.59,1010,14.5,14.7,Media
287.100006,101160,92,-0.599991,6.800003,187,4.9,6.1,10,6.06,1010.4,14.8,14.7,Media
287.400024,101110,91,-0.300003,10.400009,157,6,7.3,9.09,5.92,1010.9,14.7,14.7,Media
287.700012,100990,94,-3.099991,10.199997,155,9.9,12.2,8.33,5.11,1009.5,14.4,14.7,Media
287,100840,100,1.100006,11.100006,184,8.6,10.2,5.88,5.5,1007.8,14.3,14.7,Media
287.299988,100730,97,2.900009,9.900009,177,8.1,9.6,6.67,5.41,1006.3,14.5,14.6,Media
287.900024,100810,92,2.900009,9.5,187,8.7,10.9,8.33,5.32,1007.2,14.7,14.6,Media
287.600006,100860,96,-0.300003,9.199997,170,7.6,8.4,9.09,5.69,1008.6,14.6,14.6,Media
287.700012,100680,96,-3.099991,10.5,152,9.1,10.7,8.33,5.36,1007.2,14.7,14.6,Moderada
286.900024,100660,99,2.800003,10,191,10.4,13.2,8.33,5.87,1006.1,14.6,14.6,Media
287.600006,100790,91,-0.399994,3.100006,209,3.7,4.9,10,6.61,1007.6,13.9,14.5,Media
287.5,100650,93,0.900009,3.699997,228,0.8,1.4,8.33,7,1006.7,12.9,14.6,Media
286.900024,100800,94,6.600006,4.300003,205,6.2,7.3,7.14,6.6,1007.3,14.2,14.6,Media
286.799988,101010,91,6,4.800003,197,6.3,7.7,7.69,5.99,1009.1,14.4,14.6,Media
286.799988,101300,86,4.699997,7,200,6.6,9.2,7.69,6.25,1011.5,13.9,14.5,Media
287.5,101560,86,2.699997,7.100006,207,6.1,7.3,7.69,5.87,1013.8,14.7,14.8,Media
286.900024,101590,95,1,7.400009,193,6.2,7.2,7.14,6.12,1015.7,14.5,14.8,Media
286.799988,101460,92,-1.899994,12.400009,171,9.3,11.2,8.33,5.47,1014.4,14.5,14.7,Moderada
287.400024,101220,95,0,14.300003,164,13.4,16,7.14,5.38,1011.4,14,14.6,Moderada
285.700012,101100,100,3.800003,12.400009,197,9.3,11.5,8.33,6.55,1010.4,14.8,14.5,Moderada
288,100900,98,2.400009,11.699997,182,8.4,10.5,9.09,6.67,1008.6,14.7,14.3,Moderada
288,100620,98,8.800003,13.800003,191,11.7,14.1,10,5.95,1005.1,14.9,14.4,Moderada
287.600006,100950,91,12.199997,8,238,11.8,14.5,10,6.57,1006.4,14.4,14.1,Moderada
286.600006,101330,90,9.600006,4.100006,231,9.1,10.7,8.33,6.22,1011.1,14.5,14,Moderada
287.100006,101640,87,9.600006,2.600006,247,7.1,8.9,10.81,6.86,1014.2,14.5,14,Media
286.700012,101800,89,9.199997,3,252,6,8.4,9.09,6.48,1016.3,14.5,14,Media
286.900024,101930,90,7.900009,1.100006,254,6.9,7.9,8.33,6.01,1017.6,14.1,14,Media
287.299988,102040,87,8.800003,0.699997,261,6.5,7.8,9.09,6.08,1019.3,14.4,14.1,Media
287.400024,102050,85,7.300003,0.400009,269,3.9,4.9,9.09,5.88,1018.8,14.2,14.1,Media
286.5,101960,85,5.400009,1.600006,258,4.7,6.4,9.09,5.83,1018.6,14.2,14.1,Baja
286.799988,101920,74,3.100006,1.400009,223,4.5,5.2,9.09,5.42,1017.9,13.9,14.1,Baja
286.600006,101760,73,0,1.400009,240,2.2,2.6,6.67,5.28,1018,14.2,14.4,Baja
287.299988,101560,76,-5.300003,1,120,2,2.4,8.33,6.81,1016.1,14,14.5,Baja
286.5,101500,86,-4.899994,-1.300003,97,4.4,5.4,9.09,6.61,1015.8,14,14.2,Baja
287.100006,101610,78,-5.5,-4.399994,40,4.4,5.3,8.33,4.96,1016.5,14.2,14.3,Baja
287,101790,82,-4.300003,-6.300003,13,4.2,5.1,6.67,5.44,1018.4,14.4,14.4,Baja
286.600006,102030,89,-0.800003,-7.199997,340,3.5,4.4,7.14,5.66,1019.9,14.4,14.4,Baja
286.600006,102320,91,2.199997,-5.399994,332,3.1,3.8,14.81,5.86,1022.3,14.4,14.3,Baja
287.200012,102530,89,3.5,-4.599991,318,3,3.5,6.25,5.26,1024.2,14.4,14.3,Baja
287.100006,102670,86,2.5,-2.199997,294,3.1,3.7,14.81,5.91,1025.9,14.8,14.8,Baja
287.100006,102630,82,3.199997,1,257,3.1,3.7,14.81,6.21,1025.7,14.5,14.8,Baja
286.799988,102620,84,2.199997,1.400009,244,3.8,4.5,13.79,6.04,1025.6,14.2,14.6,Baja
286.700012,102430,91,-1.300003,4.600006,144,2.2,2.7,14.81,6.7,1024.2,13.9,14.6,Baja
286.900024,102230,89,-3.800003,3.5,142,2.7,3.4,13.79,4.18,1023.6,13.8,14.6,Baja
286.700012,102160,91,-1.899994,-2.599991,79,5.1,5.8,5.26,3.92,1022.6,13.6,14.6,Baja
286.799988,102360,87,3.199997,-4.599991,16,4.5,5.6,6.25,5.29,1023.7,14.1,14.5,Baja
286.799988,102480,84,-0.199997,-3.099991,332,1.3,1.7,7.69,5.41,1024.6,14.4,14.6,Baja
287.799988,102410,81,-3.199997,4.600006,169,2.6,3.2,7.69,5.97,1024.2,14.5,15,Baja
287.799988,101960,91,-1.699997,10.900009,142,7.7,9.9,6.67,4.06,1020.2,13.8,14.6,Media
287.200012,101430,100,4.5,11,185,5.5,6.4,5.88,4.84,1013.9,14.6,14.5,Media
288.900024,101140,92,8.800003,7.100006,219,7.6,9.2,6.25,4.61,1010,14.6,14.5,Baja
287.900024,101130,96,12.300003,4.699997,246,5.9,6.9,6.67,5.05,1009.6,14.5,14.5,Media
287.299988,101390,96,11.699997,0.800003,271,6.6,8.4,7.14,5.51,1011.7,14.8,14.6,Media
286.799988,101490,86,9.800003,-1,272,6.3,7.4,7.69,5.17,1013.6,14.4,14.5,Media
287.200012,101590,76,7.5,2.600006,227,6.5,8.1,8.33,5.76,1014.2,14.3,14.5,Media
287.100006,101470,77,8.5,5.699997,223,6.7,8.1,7.69,5.09,1013.5,14.4,14.5,Media
286.5,101390,85,10.5,7.400009,228,9.7,11.3,7.69,5.58,1012.4,13.9,14.5,Media
287.400024,101430,86,11.800003,5,235,9.4,11.2,8.33,5.44,1011.8,14.3,14.5,Media
287.299988,101570,89,10.699997,1.800003,265,7.4,9.2,9.09,6.15,1013.8,14.3,14.4,Media
287.600006,101710,88,10.5,1.5,267,6.4,7.6,10,5.92,1015.9,14.6,14.6,Media
287.100006,101790,90,8.100006,1,256,5.5,6.6,9.09,6.34,1017.2,14.3,14.6,Media
286.400024,101850,95,6.900009,1.5,231,5.3,6.8,10.81,6.58,1017.4,14.1,14.6,Media
286.900024,101940,90,8.100006,2.100006,259,5.9,7,10,6.24,1018.1,13.5,14.5,Baja
287.900024,101840,83,5.199997,6.600006,229,6.5,7.7,10,5.83,1017.3,14.5,14.7,Baja
286.5,101450,95,4.300003,10.600006,185,7.5,9,8.33,5.3,1014.3,14.4,14.7,Media
286.5,100930,95,1.800003,11.800003,165,11.1,13.6,5.88,4.93,1008.9,13.6,14.6,Media
286.600006,100400,95,2.600006,9.699997,170,8.4,9.8,7.14,5.56,1004.1,13.8,14.5,Media
286.799988,100070,92,4.100006,5,163,6.8,8.3,9.09,5.95,1001.1,14.3,14.6,Moderada
287.100006,99920,86,6.699997,-0.800003,230,0.3,0.8,10,6.88,1000,13.8,14.7,Media
286.200012,99920,93,9.199997,-2.199997,294,4.8,5.6,10,7.12,999.1,13.6,14.6,Media
286.400024,100050,91,9.400009,-5.599991,289,6.8,8.4,9.09,6.53,1000,14,14.6,Media
287.100006,100280,87,10.5,-4.599991,296,7.6,8.7,9.09,6.27,1000.9,14.2,14.7,Media
286.900024,100530,86,11.199997,-3,288,9.6,11.7,9.09,5.61,1003.7,14.4,14.6,Media
286.600006,100660,88,11.800003,-1,273,8.6,10.3,9.09,5.64,1004.9,14.2,14.6,Media
287,100710,87,8.800003,3.199997,254,8.4,9.7,8.33,5.38,1005.7,14.1,14.5,Media
286.900024,100570,91,6.300003,5.699997,226,8.2,9.8,6.67,5.29,1005.1,13.8,14.7,Media
286.700012,100260,96,0.5,6.900009,179,6.4,7.4,7.69,5.36,1002.7,13.3,14.6,Baja
286.799988,100060,97,2.800003,0.199997,260,4.1,5,6.67,5.06,1000.9,13.4,14.7,Baja
287.200012,100350,90,7.100006,-3.800003,225,1.9,2.4,12.12,5.86,1002.4,14.1,14.7,Baja
288,100690,82,9.900009,-2.5,312,5.7,6.9,6.67,5.2,1004.1,14,14.7,Baja
286.900024,101010,86,9.600006,-4.5,291,8.2,9.4,7.14,4.96,1008.2,14.2,14.7,Media
286.700012,101240,85,12.199997,-1.5,287,8.5,9.7,9.09,5.67,1010.1,13.9,14.6,Media
287,101350,76,10.400009,-2,282,9.5,11.1,9.09,4.94,1012,13.9,14.6,Media
287.400024,101650,73,10.400009,-4.899994,290,9.3,11.4,8.33,5.55,1014.5,14.3,14.7,Media
286.799988,101980,77,9.699997,-4.899994,300,9.9,11.5,7.14,5.23,1017.8,14.1,14.6,Media
286.200012,102230,77,10.5,-2.399994,272,8.8,10.1,8.33,5.6,1020.2,14.1,14.6,Media
286.799988,102220,76,13.400009,-0.5,264,9.6,12.3,7.69,5.22,1020.3,14.2,14.5,Media
287.400024,102350,75,12.699997,0.900009,264,10.4,12.3,7.14,5.59,1021,14.4,14.6,Media
286.600006,102310,81,13,0.400009,273,9,10.5,8.33,5.48,1021.1,14.4,14.5,Media
286.600006,102350,84,9.400009,2.100006,258,8.9,10.3,7.14,5.42,1021.4,13.9,14.4,Media
287.5,102190,88,8.300003,4.5,237,7,8.1,8.33,5.53,1021.1,14.1,14.3,Media
287.400024,102150,97,4.5,4.300003,177,5.6,6.4,7.69,5.14,1020.1,14.3,14.4,Baja
287.700012,101980,99,4.900009,4.699997,230,5.3,6.3,7.14,5.24,1018.7,14.4,14.4,Media
287.400024,102070,100,8.800003,5.699997,223,9.3,10.4,5.88,4.62,1018.5,14.7,14.4,Media
288.299988,102130,94,8.600006,7.600006,233,8.3,10.1,5.88,4.79,1018.8,15.2,14.4,Media
288.200012,102110,93,9.100006,10.699997,212,10.3,12.7,6.25,4.77,1018.9,15.3,14.5,Media
287.700012,102080,98,7.900009,11.400009,207,10.8,13.2,7.14,4.8,1018.9,14.8,14.5,Moderada
287.700012,102050,95,6.199997,13.5,200,10.6,12.7,7.14,5.64,1018.6,15,14.4,Moderada
288.100006,101920,90,5.100006,12.800003,198,12.1,15.2,7.14,5.64,1017.2,14.9,14.4,Moderada
288.400024,101800,92,4.199997,12.900009,194,10.9,13.3,8.33,5.81,1016.8,15.1,14.4,Moderada
288.299988,101520,97,5.5,11.699997,191,11,13.6,8.33,5.47,1013.2,15,14.4,Moderada
287.200012,101490,100,7.5,6,233,7.5,8.9,9.09,6.06,1013.3,14.6,14.4,Media
287.200012,101490,99,4.800003,-0.099991,271,4.7,5.5,9.09,6.31,1014.1,14,14.4,Baja
287.5,101520,96,4.699997,-3.300003,280,5,6,7.69,5.73,1014.8,14,14.6,Baja
286.799988,101530,97,6.300003,-4.800003,278,5.6,6.6,8.33,5.59,1014.6,14.3,14.5,Baja
286.900024,101600,90,7.800003,-4.699997,270,5.1,6.1,7.14,4.77,1014.8,14.4,14.5,Media
286.700012,101680,88,10.300003,-2.300003,268,6.8,8.3,7.69,4.84,1015.1,14.3,14.5,Media
287,101800,87,10.699997,-1.899994,278,8.3,10,7.14,4.86,1016.4,14.6,14.5,Media
286.799988,101850,86,8,-2.199997,294,5.3,6.2,5.88,5,1017.3,14.2,14.5,Baja
286.600006,101950,86,6.400009,-2,286,5.3,6,6.25,4.76,1018.6,14.2,14.5,Baja
286.700012,101970,85,5.699997,-0.699997,268,3.2,3.9,7.14,5.53,1019.1,14.4,14.5,Baja
287.400024,102070,84,5.900009,2.400009,254,3.8,4.4,16,4.75,1019.9,13.9,14.5,Baja
287,102040,89,4.300003,2.300003,200,3.7,4.6,14.81,7.63,1020.1,13.6,14.5,Media
287.100006,102050,91,0.199997,4.5,150,4.2,5,12.12,8.57,1020,13.2,14.5,Media
287.299988,101970,94,-1.899994,5.900009,168,5.3,6.5,12.12,7.72,1019.6,13.9,14.5,Media
288.299988,101870,94,-5.099991,6.300003,159,6.5,7.6,10.81,6.12,1019.4,14.2,14.6,Media
288,101730,97,-2.899994,5.900009,135,8.4,10.1,12.12,5.29,1018.2,13.8,14.5,Media
287.299988,101810,99,3.199997,4.600006,174,4.8,5.6,10.81,5.99,1017.3,14.4,14.5,Media
286.900024,101930,95,7.800003,1.600006,226,4.3,5.1,11.43,6.52,1018.2,14.2,14.5,Media
288.100006,102130,78,9.699997,-2,285,7.3,8.7,10,5.76,1019.8,14.3,14.6,Media
286.799988,102320,74,7.600006,-1.899994,280,4.7,5.7,10,6.03,1022,14.2,14.6,Media
286.600006,102390,80,2.600006,0.199997,264,1.7,3.1,11.43,6.37,1023.5,14,14.5,Baja
287.200012,102410,84,-2.399994,5.699997,127,5.7,6.6,6.67,6.19,1024.2,14,14.5,Baja
287.700012,102270,95,-1.699997,9.600006,142,8.4,10,6.67,5.07,1023.2,14.6,14.5,Baja
287.799988,102240,98,-0.199997,12.100006,167,6.9,8.3,5.56,4.9,1022.4,14.8,14.5,Media
287.799988,102240,95,1.5,12,173,9.5,11.1,6.67,4.58,1021.5,14.8,14.5,Media
288.299988,102190,90,1.100006,13.199997,179,10,12.6,8.33,5.72,1021.2,15,14.5,Media
289.200012,102030,86,-0.899994,14.400009,165,9.9,11.6,8.33,5.4,1019.9,15.5,14.6,Moderada
287.700012,101860,94,-0.699997,13.699997,166,9.8,11.4,8.33,5.96,1018.4,15.2,14.6,Moderada
287.799988,101700,94,-0.800003,13.900009,164,10.2,12.7,9.09,5.97,1016.9,15,14.6,Moderada
287.600006,101530,96,-0.199997,11.400009,163,9.8,11.9,10,6.79,1015.1,14.8,14.6,Moderada
288.200012,101330,94,-2.699997,12.800003,162,9.4,11.2,10,6.3,1013.6,15.1,14.7,Moderada
286.900024,101160,100,0.100006,11.5,162,11.1,13.5,10,5.67,1011.2,15.2,14.6,Moderada
287.799988,101110,96,-1.599991,8.800003,159,10.5,12.5,9.09,6.06,1010.1,15.3,14.6,Media
287.200012,101110,100,-0.899994,7.800003,169,7.1,8.2,10,5.98,1010.2,14.8,14.6,Media
288,100880,96,-1.199997,8.400009,152,8.9,10.6,9.09,5.87,1008.1,15.3,14.6,Media
286.600006,100880,98,7.199997,8.5,246,7.6,9.5,12.12,5.84,1007.9,13.6,14.6,Moderada
286.900024,100960,89,3.800003,6.5,198,7,8.3,12.9,7.3,1009,14.4,14.5,Moderada
286.700012,101070,89,3.900009,4.400009,205,5.9,7.6,13.79,7.62,1009.7,14.4,14.5,Media
286.700012,101180,88,2.199997,2.199997,233,4.5,5.9,13.79,7.09,1013.1,14.6,14.7,Moderada
286.799988,101260,88,3.5,2.300003,222,4.6,5.8,12.9,8.45,1012.2,14.3,14.6,Media
286.299988,101370,90,4.300003,-0.399994,259,4.8,5.9,12.12,7.41,1012.9,14.3,14.6,Media
286,101340,87,3.400009,0.199997,228,3.1,4.6,10.81,7.84,1013,14.3,14.6,Media
287,101340,76,2.900009,1.199997,250,1.3,1.9,7.14,6.56,1013,14.5,14.7,Media
286,101020,85,0,6.800003,185,4.7,5.5,9.09,7.12,1010.1,14.3,14.7,Media
286.600006,100540,85,-3.199997,11.400009,162,7.9,9.5,7.69,5.17,1005.7,14.1,14.6,Media
286.299988,99940,99,-4.599991,13.600006,164,11.1,14.1,5.56,5.19,1000,13.7,14.5,Moderada
286.400024,99350,100,-4,11.400009,153,13.2,15.9,8.33,6.18,994.5,13.2,14.5,Moderada
287.5,98640,100,-3.800003,10.600006,172,7.1,8.9,8.33,6.64,988.4,14.2,14.5,Media
287.5,98010,100,-0.099991,13.300003,141,9.1,11.7,8.33,5.75,981.9,14.4,14.6,Moderada
286.600006,97760,92,8.900009,8.600006,165,8.1,9.9,8.33,5.98,977,14.6,14.6,Media
286.700012,98150,78,17.699997,6.100006,232,4.9,5.7,7.14,6.16,976.4,14.7,14.7,MuyAlta
286.400024,98920,81,18.600006,7,262,14.3,18.3,11.43,6.59,985.1,12.7,14.5,MuyAlta
286.299988,99700,81,17.300003,6.600006,247,13.8,17.1,9.09,7.58,992.6,13.6,14.4,MuyAlta
286.700012,100240,75,11,9.600006,223,11.2,13.3,10,7.17,999.4,14,14.3,Moderada
287.5,100570,74,1.199997,6.900009,219,7,8.5,11.43,7.13,1004,14.1,14.3,Moderada
286.400024,100340,84,-4.399994,-1.300003,154,5.1,6,10,7.64,1004,13.8,14.3,Media
285.400024,100250,90,2.900009,-3.300003,120,0.5,1.2,7.69,6.71,1002.7,12,14.3,Media
285.799988,100540,74,4.900009,-1.399994,241,3.8,4.6,10,7.05,1004.2,13.1,14.3,Media
286.100006,100740,73,-0.699997,-0.399994,218,2.6,3.3,8.33,6.48,1006.6,13.5,14.4,Media
286.299988,100430,77,-2.199997,-3.800003,53,2,3,8.33,7.18,1005.1,13.1,14.3,Media
285.799988,99870,86,-0.300003,-9.5,28,7.2,8.8,8.33,6.44,1000.5,13.1,14.3,Media
285.200012,99250,80,6,-13.199997,357,10,12.5,4.76,4.92,994.7,13.2,14.2,Media
284.400024,99580,86,15.300003,-4.599991,311,11.2,13.3,6.25,5.28,993.2,13.1,14.2,Moderada
285.400024,100020,76,7,1.699997,253,8.4,10.4,7.69,5.77,997.9,13.2,14.2,Media
285.600006,100280,70,1.100006,3.800003,210,5.4,6.9,10,6.18,1002,13.2,14.2,Media
286.200012,100410,69,-1.699997,2.5,196,3.6,4.6,8.33,6.37,1003.7,12.2,14.1,Media
287.200012,100670,68,-0.599991,1.400009,141,1.1,1.7,6.67,6.05,1013.3,13.4,14.5,Media
286.799988,100810,70,-3.300003,-1,119,2.9,3.7,6.67,6.23,1008.6,13.1,14.4,Baja
286.200012,100850,86,-6.099991,-2.699997,53,4.3,5,7.14,6.05,1009.4,13.1,14.2,Baja
286.700012,100820,85,-6.399994,-7.099991,48,6.6,7.9,6.67,5.13,1009.9,13.3,14.2,Baja
287,100680,72,-5.099991,-10.199997,27,8.3,9.8,3.85,4.3,1008,13.4,14.2,Media
286.100006,100500,79,-4.300003,-14.5,19,9.8,11.7,5.56,4.3,1006.4,13.1,14.2,Media
285.700012,100390,78,4.5,-14.599991,359,11,12.7,5.26,4.9,1004.4,12.9,14.1,Media
286.299988,100390,75,5.199997,-14.099991,346,10.5,12.1,6.25,5.19,1004.5,12.8,14,Media
286.600006,100510,81,6.800003,-11.5,335,9.2,10.9,6.67,5.11,1004.8,13.3,14.1,Media
286.700012,100580,85,3.300003,-7.899994,348,7.5,8.5,6.67,5.21,1005.7,13.2,14,Media
286.700012,100640,86,4.199997,-10.800003,359,6.1,7.1,6.25,5.48,1006.6,13.1,14,Media
287.200012,100790,77,0.600006,-9.5,23,6.8,8,9.09,6.19,1008.4,14.4,14,Media
287.200012,100930,86,-1.5,-9,13,6.5,7.5,12.12,6.04,1009.4,14.2,14.1,Media
